ticker,date,open,high,low,close,volume
AAPL,2015-01-02,111.39,111.44,107.35,109.33,53204626
AAPL,2015-01-05,108.29,108.65,105.41,106.25,64285491
AAPL,2015-01-06,106.54,107.43,104.63,106.26,65797116
AAPL,2015-01-07,107.2,108.2,106.695,107.75,40105934
AAPL,2015-01-08,109.23,112.15,108.7,111.89,59364547
AAPL,2015-01-09,112.67,113.25,110.21,112.01,53315099
AAPL,2015-01-12,112.6,112.63,108.8,109.25,49650790
AAPL,2015-01-13,111.43,112.8,108.91,110.22,67091928
AAPL,2015-01-14,109.04,110.49,108.5,109.8,48956588
AAPL,2015-01-15,110.0,110.06,106.66,106.82,60013996
AAPL,2015-01-16,107.03,107.58,105.2,105.99,78513345
AAPL,2015-01-20,107.84,108.9667,106.5,108.72,49899907
AAPL,2015-01-21,108.95,111.06,108.27,109.55,48575897
AAPL,2015-01-22,110.26,112.47,109.72,112.4,53796409
AAPL,2015-01-23,112.3,113.75,111.53,112.98,46464828
AAPL,2015-01-26,113.74,114.3626,112.8,113.1,55614979
AAPL,2015-01-27,112.42,112.48,109.03,109.14,95568749
AAPL,2015-01-28,117.625,118.12,115.31,115.31,146477063
AAPL,2015-01-29,116.32,119.19,115.56,118.9,84436432
AAPL,2015-01-30,118.4,120.0,116.85,117.16,83745461
AAPL,2015-02-02,118.05,119.17,116.08,118.63,62739100
AAPL,2015-02-03,118.5,119.09,117.61,118.65,51915749
AAPL,2015-02-04,118.5,120.51,118.309,119.56,70149743
AAPL,2015-02-05,120.02,120.23,119.25,119.94,42246245
AAPL,2015-02-06,120.02,120.25,118.45,118.93,43706567
AAPL,2015-02-09,118.55,119.84,118.43,119.72,38889797
AAPL,2015-02-10,120.17,122.15,120.16,122.02,62008506
AAPL,2015-02-11,122.77,124.92,122.5,124.88,73561797
AAPL,2015-02-12,126.06,127.48,125.57,126.46,74474466
AAPL,2015-02-13,127.28,127.28,125.65,127.08,54272219
AAPL,2015-02-17,127.49,128.88,126.92,127.83,63152405
AAPL,2015-02-18,127.625,128.78,127.45,128.715,44891737
AAPL,2015-02-19,128.48,129.03,128.33,128.45,37362381
AAPL,2015-02-20,128.62,129.5,128.05,129.495,48948419
AAPL,2015-02-23,130.02,133.0,129.66,133.0,70974110
AAPL,2015-02-24,132.94,133.6,131.17,132.17,69228130
AAPL,2015-02-25,131.56,131.6,128.15,128.79,74711746
AAPL,2015-02-26,128.785,130.87,126.61,130.415,91287529
AAPL,2015-02-27,130.0,130.57,128.24,128.46,62014847
AAPL,2015-03-02,129.25,130.28,128.3,129.09,48096663
AAPL,2015-03-03,128.96,129.52,128.09,129.36,37816283
AAPL,2015-03-04,129.1,129.56,128.32,128.54,31666340
AAPL,2015-03-05,128.58,128.75,125.76,126.41,56517146
AAPL,2015-03-06,128.4,129.37,126.26,126.6,72842060
AAPL,2015-03-09,127.96,129.57,125.06,127.14,88528487
AAPL,2015-03-10,126.41,127.22,123.8,124.51,68856582
